date.gs,reg_02.gs,마스크,스타킹,스테디셀러,일회용품,"계절성(여름,겨울)",00~19,20~39,40~59,60~99,F,M,temp_max,wind_max,temp_min,temp_avg,rhumid_avg,wa_avg,rain_sum
2016-01-04,1분위수,49.0,98.0,7314.0,337.0,4381.0,336,8124,3544,175,7392,4787,6.2,4.6,-1.6,2.8,54.5,2.3,0.0
2016-01-04,2분위수,70.0,225.0,10080.0,464.0,5381.0,700,11719,3591,217,10234,5993,6.1,4.0,-1.7,2.8,52.3,2.1,0.0
2016-01-04,3분위수,91.0,154.0,10090.0,336.0,5118.0,714,11003,3643,429,9641,6148,8.4,4.1,-3.7,2.6,52.6,1.9,0.0
2016-01-04,4분위수,231.0,519.0,25172.0,1104.0,12617.0,947,29133,8511,1052,23122,16521,6.5,3.8,-1.3,3.0,55.5,2.1,0.0
2016-01-05,1분위수,21.0,56.0,8009.0,252.0,3534.0,434,8058,3205,175,6727,5145,1.6,4.1,-3.6,-1.6,41.5,1.8,0.0
2016-01-05,2분위수,63.0,140.0,11728.0,526.0,5289.0,667,12591,4201,287,11178,6568,1.5,3.8,-3.8,-1.9,40.3,1.8,0.0
2016-01-05,3분위수,42.0,203.0,10782.0,336.0,4549.0,532,11132,3897,351,10276,5636,1.5,3.5,-4.6,-2.1,41.0,1.4,0.0
2016-01-05,4분위수,154.0,443.0,25449.0,907.0,12665.0,960,28414,9368,876,22805,16813,1.7,3.3,-3.4,-1.5,39.5,1.7,0.0
2016-01-06,1분위수,14.0,119.0,9350.0,203.0,3443.0,533,9106,3238,252,6946,6183,2.3,3.5,-3.8,-0.8,57.5,1.3,0.0
2016-01-06,2분위수,49.0,105.0,12018.0,534.0,5285.0,695,12112,4876,308,10866,7125,2.6,3.2,-3.9,-0.8,58.0,1.3,0.0
2016-01-06,3분위수,35.0,175.0,11393.0,273.0,4831.0,476,12187,3658,386,10316,6391,2.3,3.0,-5.1,-1.3,57.4,1.1,0.0
2016-01-06,4분위수,175.0,421.0,29964.0,998.0,13509.0,910,31949,11198,1010,26264,18803,2.6,3.2,-3.0,-0.4,54.5,1.5,0.0
2016-01-07,1분위수,7.0,63.0,9135.0,358.0,3624.0,413,9021,3445,308,7382,5805,1.6,4.3,-4.7,-2.2,52.5,1.9,0.0
2016-01-07,2분위수,21.0,140.0,12310.0,492.0,5537.0,568,13079,4629,224,11935,6565,1.7,3.6,-5.3,-2.3,53.3,1.8,0.0
2016-01-07,3분위수,21.0,147.0,10725.0,378.0,4963.0,504,11756,3722,252,10225,6009,1.5,3.4,-5.9,-2.8,52.0,1.5,0.0
2016-01-07,4분위수,112.0,498.0,30373.0,1082.0,13290.0,966,32844,10330,1215,27264,18091,1.8,3.4,-4.4,-2.1,51.0,1.8,0.0
2016-01-08,1분위수,14.0,168.0,10477.0,309.0,4365.0,455,10517,4137,238,8718,6629,1.6,4.2,-6.0,-2.3,53.2,1.5,0.0
2016-01-08,2분위수,35.0,175.0,14670.0,555.0,6359.0,729,16094,4656,315,13868,7926,1.7,3.9,-6.4,-2.2,53.3,1.6,0.0
2016-01-08,3분위수,70.0,147.0,13305.0,378.0,6194.0,441,14248,5055,350,12760,7334,1.6,3.8,-7.6,-3.0,52.4,1.3,0.0
2016-01-08,4분위수,98.0,653.0,33052.0,1335.0,16788.0,1163,36637,13080,1046,30683,21243,2.0,3.8,-5.5,-1.8,51.5,1.7,0.0
2016-01-09,1분위수,42.0,63.0,9562.0,308.0,5000.0,378,10239,4225,133,8011,6964,2.4,4.4,-4.9,-1.1,59.8,1.6,0.0
2016-01-09,2분위수,42.0,295.0,15433.0,527.0,7638.0,785,17461,5416,273,14665,9270,2.5,3.8,-5.1,-1.1,60.7,1.5,0.0
2016-01-09,3분위수,21.0,303.0,13800.0,329.0,6651.0,491,15054,5159,400,13219,7885,2.2,3.6,-6.2,-1.6,60.4,1.3,0.0
2016-01-09,4분위수,154.0,570.0,34501.0,1132.0,17979.0,1029,39784,12241,1282,32522,21814,2.7,3.8,-4.1,-0.6,57.5,1.6,0.0
2016-01-10,1분위수,35.0,119.0,9278.0,273.0,5322.0,476,10487,3910,161,8784,6250,4.3,4.1,-1.5,1.1,44.2,1.8,0.0
2016-01-10,2분위수,49.0,210.0,14512.0,561.0,6941.0,658,16653,4556,406,13815,8458,4.7,4.1,-1.8,1.0,45.7,1.9,0.0
2016-01-10,3분위수,35.0,133.0,15182.0,413.0,7932.0,623,16717,6012,343,14973,8722,4.4,3.8,-2.6,0.8,44.2,1.6,0.0
2016-01-10,4분위수,224.0,322.0,33519.0,954.0,16263.0,1198,37626,11257,1208,30787,20502,4.7,3.6,-1.5,1.3,43.5,1.8,0.0
2016-01-11,1분위수,35.0,77.0,8577.0,336.0,3917.0,336,9358,2996,252,7296,5646,1.1,4.1,-5.4,-2.9,40.8,1.9,0.0
2016-01-11,2분위수,84.0,112.0,12400.0,471.0,5169.0,651,13426,3823,336,11522,6714,1.1,3.7,-5.7,-3.0,41.3,1.9,0.0
2016-01-11,3분위수,70.0,112.0,10691.0,365.0,4769.0,434,11489,3699,385,10294,5713,1.1,3.3,-6.7,-3.5,41.2,1.4,0.0
2016-01-11,4분위수,154.0,413.0,28236.0,998.0,12996.0,1311,29903,10624,966,24542,18262,1.0,3.4,-5.2,-2.9,41.0,1.8,0.0
2016-01-12,1분위수,70.0,98.0,8598.0,379.0,4137.0,287,9035,3757,203,7802,5480,0.6,4.1,-7.6,-4.0,47.2,1.7,0.0
2016-01-12,2분위수,42.0,203.0,13118.0,379.0,5649.0,644,13667,4681,399,12168,7223,0.9,3.5,-8.0,-4.2,48.0,1.6,0.0
2016-01-12,3분위수,42.0,70.0,11348.0,315.0,4483.0,434,11681,3870,273,10383,5875,0.4,3.2,-9.4,-4.8,47.6,1.3,0.0
2016-01-12,4분위수,119.0,490.0,29528.0,1125.0,12691.0,1164,31745,10139,905,25211,18742,0.7,3.5,-7.4,-4.0,47.5,1.7,0.0
2016-01-13,1분위수,28.0,49.0,10023.0,308.0,4108.0,434,10234,3603,315,8181,6405,0.1,4.4,-7.2,-3.7,65.0,1.6,0.0
2016-01-13,2분위수,77.0,147.0,14231.0,470.0,5181.0,617,14661,4407,505,13026,7164,0.6,4.0,-7.6,-3.7,64.7,1.6,0.1
2016-01-13,3분위수,21.0,204.0,11971.0,266.0,5155.0,469,12211,4727,280,11171,6516,0.2,4.4,-8.8,-4.2,64.4,1.4,0.0
2016-01-13,4분위수,140.0,414.0,32177.0,1083.0,13470.0,952,34582,11117,864,27778,19737,0.5,4.0,-6.7,-3.3,63.0,1.6,0.0
2016-01-14,1분위수,28.0,91.0,9552.0,217.0,3888.0,441,9811,3307,224,7970,5813,1.0,3.6,-7.2,-2.8,54.0,1.2,0.0
2016-01-14,2분위수,28.0,147.0,12659.0,372.0,5546.0,616,13562,4133,448,12049,6710,1.2,3.3,-7.7,-3.0,57.3,1.2,0.0
2016-01-14,3분위수,35.0,154.0,11483.0,343.0,5036.0,672,12121,3964,301,10704,6354,0.9,3.0,-9.0,-3.4,53.8,1.0,0.0
2016-01-14,4분위수,84.0,379.0,31349.0,1061.0,13806.0,994,33744,11064,891,27493,19200,1.3,3.2,-6.7,-2.5,49.5,1.3,0.0
2016-01-15,1분위수,70.0,112.0,10310.0,385.0,5329.0,469,10651,4932,154,9573,6633,4.8,2.9,-3.2,0.1,58.0,1.1,0.0
2016-01-15,2분위수,77.0,246.0,14537.0,575.0,6808.0,603,15720,5325,595,13829,8414,4.6,3.0,-3.3,0.1,60.3,1.3,0.0
2016-01-15,3분위수,70.0,119.0,12669.0,484.0,5782.0,448,13475,4921,280,12204,6920,4.2,2.2,-4.7,-1.0,59.0,0.8,0.0
2016-01-15,4분위수,147.0,653.0,35140.0,1195.0,17437.0,918,39894,12342,1418,33073,21499,5.0,2.7,-2.5,0.8,54.5,1.2,0.0
2016-01-16,1분위수,14.0,105.0,9292.0,259.0,4755.0,476,10325,3498,140,8010,6429,3.4,2.9,-2.1,0.1,74.8,1.5,0.0
2016-01-16,2분위수,14.0,196.0,15024.0,498.0,8208.0,574,17654,5502,231,14770,9191,3.2,3.7,-1.7,0.4,69.3,2.1,0.0
2016-01-16,3분위수,35.0,196.0,14025.0,371.0,7562.0,567,15364,5829,478,13639,8599,3.4,2.4,-3.6,-0.6,71.6,1.1,0.0
2016-01-16,4분위수,28.0,802.0,33439.0,892.0,19777.0,869,40604,12509,1026,32916,22092,3.9,3.0,-1.3,0.7,67.5,1.6,0.0
2016-01-17,1분위수,7.0,112.0,9113.0,266.0,4772.0,407,9892,3733,238,8163,6107,5.4,2.9,-0.8,1.9,70.8,1.2,0.0
2016-01-17,2분위수,56.0,105.0,13284.0,492.0,6540.0,574,15199,4347,371,12459,8032,5.6,3.9,-0.5,2.2,69.0,1.8,0.0
2016-01-17,3분위수,35.0,112.0,13257.0,343.0,6880.0,441,14902,4962,322,12195,8432,5.7,2.7,-2.0,1.3,70.0,1.0,0.0
2016-01-17,4분위수,84.0,371.0,31250.0,1230.0,18109.0,1086,37648,11179,1145,30217,20841,6.0,2.9,-0.1,2.6,66.0,1.4,0.0
2016-01-18,1분위수,56.0,77.0,8134.0,259.0,2798.0,483,7877,2810,154,6427,4897,1.5,6.8,-11.6,-5.6,60.2,3.5,0.0
2016-01-18,2분위수,84.0,182.0,11932.0,577.0,5070.0,602,12861,4123,266,11560,6292,1.5,6.2,-11.5,-5.6,59.0,3.3,0.0
2016-01-18,3분위수,112.0,126.0,10670.0,315.0,4310.0,357,11782,3212,203,9890,5664,1.2,6.0,-11.6,-5.5,59.0,2.9,0.0
2016-01-18,4분위수,168.0,456.0,28231.0,1202.0,11658.0,1241,30438,9300,764,25134,16609,2.4,5.3,-11.1,-5.3,57.0,2.8,0.0
2016-01-19,1분위수,63.0,98.0,9321.0,392.0,2789.0,490,8527,3422,224,7178,5485,-8.1,6.8,-14.2,-11.8,48.5,3.7,0.0
2016-01-19,2분위수,28.0,218.0,13400.0,456.0,4432.0,561,13725,3926,322,11187,7347,-8.0,6.0,-14.2,-11.8,47.0,3.6,0.0
2016-01-19,3분위수,175.0,98.0,12526.0,280.0,4739.0,539,12994,3970,315,11124,6694,-8.0,5.8,-14.9,-12.0,45.8,3.1,0.0
2016-01-19,4분위수,238.0,379.0,33426.0,984.0,12823.0,1229,34041,11360,1220,28063,19787,-7.7,5.5,-13.8,-11.4,45.0,3.2,0.0
2016-01-20,1분위수,63.0,42.0,10385.0,301.0,4071.0,576,9811,4230,245,8392,6470,-5.2,3.3,-13.4,-9.4,48.0,1.4,0.0
2016-01-20,2분위수,70.0,98.0,14665.0,534.0,4882.0,672,14373,4959,252,12880,7376,-5.7,3.2,-13.7,-9.7,52.3,1.5,0.0
2016-01-20,3분위수,98.0,98.0,12332.0,287.0,5050.0,497,12196,4575,597,11011,6854,-5.5,2.8,-15.2,-10.2,47.4,1.1,0.0
2016-01-20,4분위수,175.0,238.0,33413.0,1217.0,12917.0,1051,33993,11591,1325,27909,20051,-5.2,2.9,-13.2,-9.3,44.5,1.5,0.0
2016-01-21,1분위수,42.0,105.0,10844.0,280.0,3456.0,371,10336,3711,309,8149,6578,-2.1,3.7,-9.2,-6.2,48.0,1.3,0.0
2016-01-21,2분위수,35.0,147.0,14080.0,597.0,5774.0,448,15175,4520,490,12728,7905,-2.2,3.2,-9.6,-6.5,51.3,1.4,0.0
2016-01-21,3분위수,63.0,112.0,11989.0,329.0,4518.0,483,12139,3983,406,10671,6340,-2.1,3.1,-10.7,-6.8,48.4,1.2,0.0
2016-01-21,4분위수,126.0,428.0,33465.0,1147.0,14552.0,1092,35741,11522,1363,28890,20828,-2.0,3.0,-9.1,-6.1,47.0,1.5,0.0
2016-01-22,1분위수,56.0,119.0,10676.0,224.0,4302.0,343,10599,4120,315,8503,6874,-3.2,3.9,-9.9,-6.6,43.5,1.7,0.0
2016-01-22,2분위수,28.0,119.0,15036.0,527.0,5902.0,476,15350,5310,476,13140,8472,-3.0,3.7,-10.3,-6.8,46.0,1.7,0.0
2016-01-22,3분위수,35.0,49.0,14060.0,344.0,4967.0,560,13920,4610,365,11747,7708,-2.9,2.9,-11.7,-7.1,44.0,1.2,0.0
2016-01-22,4분위수,91.0,499.0,35714.0,1272.0,15743.0,1165,37571,13426,1157,30950,22369,-3.0,3.3,-9.4,-6.5,42.0,1.8,0.0
2016-01-23,1분위수,84.0,112.0,11553.0,224.0,4691.0,351,11446,4664,203,8852,7812,-7.3,6.0,-15.0,-10.5,44.2,3.0,0.0
2016-01-23,2분위수,77.0,133.0,16509.0,428.0,6563.0,616,17853,4982,259,14624,9086,-7.3,5.6,-15.1,-10.5,43.7,3.0,0.0
2016-01-23,3분위수,77.0,105.0,16218.0,407.0,6548.0,581,16611,5778,385,13883,9472,-7.2,5.3,-15.8,-10.6,41.0,2.6,0.0
2016-01-23,4분위수,436.0,456.0,39504.0,1048.0,16904.0,890,43443,12602,1413,35144,23204,-6.7,5.2,-14.6,-10.3,41.5,3.0,0.0
2016-01-24,1분위수,28.0,84.0,9883.0,259.0,4028.0,413,9996,3537,336,7898,6384,-9.9,4.4,-17.0,-13.4,49.8,2.4,0.0
2016-01-24,2분위수,182.0,133.0,14971.0,406.0,5116.0,912,15328,4211,357,12211,8597,-10.0,4.1,-17.1,-13.4,50.3,2.4,0.0
2016-01-24,3분위수,77.0,28.0,15534.0,378.0,6001.0,385,15949,5299,385,13716,8302,-10.0,3.8,-18.2,-13.9,47.8,2.0,0.0
2016-01-24,4분위수,217.0,231.0,36371.0,878.0,15186.0,806,38560,12244,1273,31706,21177,-9.8,4.0,-16.7,-13.2,49.5,2.4,0.0
2016-01-25,1분위수,35.0,35.0,8847.0,322.0,3445.0,322,8980,3144,238,7159,5525,-3.5,3.8,-13.3,-8.4,50.0,1.5,0.0
2016-01-25,2분위수,56.0,147.0,12218.0,470.0,5829.0,665,13056,4530,469,11796,6924,-3.5,3.3,-13.8,-8.5,52.3,1.4,0.0
2016-01-25,3분위수,35.0,98.0,10661.0,399.0,4330.0,462,11070,3515,476,9550,5973,-3.8,3.1,-15.2,-9.2,49.4,1.2,0.0
2016-01-25,4분위수,175.0,246.0,29982.0,1343.0,12922.0,1030,31938,10726,974,26140,18528,-3.4,3.0,-12.8,-8.1,49.0,1.5,0.0
2016-01-26,1분위수,56.0,21.0,9254.0,330.0,3887.0,315,9599,3487,175,7663,5913,2.0,4.1,-7.7,-2.6,67.0,1.4,0.0
2016-01-26,2분위수,49.0,70.0,13183.0,527.0,5976.0,631,14102,4743,336,12819,6993,2.1,3.3,-7.7,-2.6,68.7,1.4,0.0
2016-01-26,3분위수,28.0,112.0,12097.0,357.0,4775.0,504,12248,4189,484,10575,6850,1.9,3.1,-9.0,-3.2,67.2,1.0,0.0
2016-01-26,4분위수,70.0,393.0,30252.0,993.0,13404.0,946,33002,10632,672,27116,18136,2.4,3.4,-6.7,-2.0,67.0,1.5,0.0
2016-01-27,1분위수,21.0,112.0,9303.0,273.0,4197.0,441,9036,4128,301,7714,6192,3.8,4.1,-3.7,-0.2,58.5,1.5,0.0
2016-01-27,2분위수,56.0,175.0,12622.0,443.0,5770.0,539,13498,4672,357,11542,7524,4.1,3.3,-4.0,-0.4,62.3,1.3,0.0
2016-01-27,3분위수,56.0,77.0,12315.0,385.0,4979.0,462,11854,4738,758,10786,7026,3.6,3.2,-5.4,-0.9,58.6,1.2,0.0
2016-01-27,4분위수,126.0,385.0,31916.0,1159.0,14655.0,1261,34098,11976,913,27384,20864,4.1,3.4,-3.2,0.0,56.5,1.5,0.0
2016-01-28,1분위수,56.0,91.0,9489.0,329.0,4120.0,329,9511,4042,203,7877,6208,3.8,3.1,-5.0,0.1,56.8,1.2,0.0
2016-01-28,2분위수,42.0,245.0,13391.0,632.0,7384.0,518,13749,7049,378,14094,7600,3.7,3.4,-4.9,-0.1,58.3,1.4,0.0
2016-01-28,3분위수,63.0,196.0,11474.0,414.0,5583.0,560,13035,3862,273,10995,6735,3.8,2.4,-6.8,-0.7,56.0,0.8,0.0
2016-01-28,4분위수,77.0,421.0,29645.0,1293.0,13874.0,994,32868,10381,1067,27761,17549,3.9,2.8,-4.1,0.5,54.0,1.1,0.0
2016-01-29,1분위수,42.0,105.0,10165.0,428.0,5357.0,287,11766,3820,224,9390,6707,5.8,3.6,-0.6,2.6,48.8,1.8,0.0
2016-01-29,2분위수,21.0,203.0,13294.0,563.0,7369.0,567,15392,5078,420,13216,8241,5.8,3.9,-1.0,2.2,52.3,1.9,0.0
2016-01-29,3분위수,49.0,133.0,13403.0,336.0,6550.0,624,14411,4939,497,12505,7966,5.9,2.9,-2.1,1.7,50.6,1.2,0.0
2016-01-29,4분위수,154.0,589.0,33564.0,1315.0,18163.0,1150,39603,12037,995,31060,22725,6.1,2.9,-0.4,2.8,47.5,1.3,0.0
2016-01-30,1분위수,84.0,154.0,9017.0,281.0,5185.0,427,10236,3799,259,8324,6397,5.5,3.8,-1.9,1.4,62.2,1.4,0.0
2016-01-30,2분위수,21.0,196.0,15100.0,555.0,7528.0,785,17118,4971,526,14209,9191,5.4,3.5,-2.4,1.0,64.0,1.6,0.0
2016-01-30,3분위수,21.0,182.0,13829.0,287.0,7431.0,610,14799,5525,816,13436,8314,5.4,2.9,-3.5,0.5,62.4,1.1,0.0
2016-01-30,4분위수,77.0,626.0,36224.0,1369.0,19714.0,1304,42855,12904,947,35291,22719,5.2,3.3,-1.5,1.4,60.0,1.4,0.0
2016-01-31,1분위수,28.0,70.0,9449.0,238.0,4491.0,562,9476,3859,379,8099,6177,0.7,4.3,-5.2,-2.8,34.5,2.3,0.0
2016-01-31,2분위수,21.0,175.0,12722.0,399.0,7007.0,630,15022,4034,638,12721,7603,0.7,4.0,-5.7,-3.1,38.7,2.0,0.0
2016-01-31,3분위수,91.0,168.0,12369.0,315.0,5800.0,595,13230,4433,485,11479,7264,0.8,3.7,-6.5,-3.3,37.0,1.8,0.0
2016-01-31,4분위수,119.0,378.0,30640.0,745.0,15282.0,644,33953,11214,1353,26624,20540,1.0,3.7,-5.4,-2.9,36.0,2.1,0.0
2016-02-01,1분위수,35.0,63.0,7918.0,322.0,3429.0,364,8152,2957,294,6314,5453,-0.8,4.4,-7.9,-5.0,37.5,2.0,0.0
2016-02-01,2분위수,56.0,196.0,11298.0,484.0,4817.0,518,12234,3714,385,10489,6362,-0.7,3.7,-8.4,-5.3,40.3,2.0,0.0
2016-02-01,3분위수,176.0,126.0,10052.0,414.0,4206.0,686,10660,3271,357,8948,6026,-1.0,3.7,-9.6,-5.5,37.2,1.6,0.0
2016-02-01,4분위수,119.0,386.0,24765.0,1202.0,12034.0,798,28078,9007,623,21795,16711,-0.7,3.5,-8.0,-5.2,38.5,1.9,0.0
2016-02-02,1분위수,49.0,63.0,8911.0,224.0,3658.0,385,8853,3471,196,7321,5584,0.7,3.8,-8.6,-4.1,42.8,1.5,0.0
2016-02-02,2분위수,35.0,203.0,12261.0,415.0,4554.0,525,12579,4007,357,10850,6618,0.6,3.3,-9.3,-4.5,45.7,1.4,0.0
2016-02-02,3분위수,14.0,210.0,10313.0,308.0,4633.0,574,10938,3658,308,9560,5918,0.4,3.2,-10.7,-5.2,42.4,1.2,0.0
2016-02-02,4분위수,154.0,533.0,28168.0,984.0,13147.0,672,30787,10763,764,24551,18435,0.7,3.1,-8.3,-4.0,41.5,1.6,0.0
2016-02-03,1분위수,35.0,133.0,9240.0,329.0,3424.0,407,8816,3622,316,7521,5640,3.9,4.0,-7.3,-1.6,54.5,1.3,0.0
2016-02-03,2분위수,35.0,161.0,12228.0,506.0,6242.0,539,14112,4255,266,11923,7249,4.1,3.2,-7.5,-2.0,57.0,1.2,0.0
2016-02-03,3분위수,35.0,154.0,11705.0,301.0,5229.0,420,12326,4173,505,11068,6356,3.6,3.2,-9.4,-2.9,53.8,1.0,0.0
2016-02-03,4분위수,77.0,641.0,27696.0,1132.0,13823.0,855,31078,10596,840,25295,18074,4.1,3.3,-6.4,-1.3,52.0,1.4,0.0
2016-02-04,1분위수,28.0,119.0,8767.0,336.0,3863.0,413,9149,3369,182,7798,5315,4.8,4.5,-3.0,0.4,51.5,1.7,0.0
2016-02-04,2분위수,70.0,280.0,12070.0,513.0,5725.0,574,13383,4456,245,11069,7589,4.9,4.1,-3.5,0.1,54.7,1.6,0.0
2016-02-04,3분위수,35.0,183.0,10214.0,266.0,4951.0,483,11000,3718,448,9609,6040,4.6,4.0,-4.7,-0.4,51.8,1.5,0.0
2016-02-04,4분위수,154.0,526.0,28548.0,1167.0,13260.0,1149,30757,10804,959,25582,18087,4.9,4.1,-2.4,0.7,50.0,1.9,0.0
2016-02-05,1분위수,28.0,119.0,9164.0,266.0,4137.0,427,9684,3386,217,7352,6362,3.4,4.2,-5.4,-1.2,42.5,1.7,0.0
2016-02-05,2분위수,21.0,168.0,12120.0,435.0,5336.0,539,12972,4148,435,11214,6880,3.7,3.7,-6.1,-1.3,45.0,1.6,0.0
2016-02-05,3분위수,42.0,154.0,11910.0,344.0,5066.0,673,11855,4407,581,10641,6875,3.3,3.5,-7.6,-2.0,42.4,1.3,0.0
2016-02-05,4분위수,91.0,519.0,30290.0,1166.0,16212.0,940,35161,11116,1061,28487,19791,3.6,3.5,-4.7,-0.9,42.0,1.7,0.0
2016-02-06,1분위수,49.0,77.0,8419.0,238.0,4511.0,448,8705,3910,231,7493,5801,2.0,4.4,-5.0,-2.1,40.8,2.1,0.0
2016-02-06,2분위수,7.0,126.0,12091.0,506.0,6054.0,602,13303,4536,350,11654,7137,2.0,3.9,-5.6,-2.3,42.3,2.0,0.0
2016-02-06,3분위수,56.0,77.0,12179.0,287.0,6082.0,448,12897,5070,273,11675,7013,1.8,3.6,-6.8,-2.9,40.6,1.6,0.0
2016-02-06,4분위수,91.0,492.0,26525.0,913.0,15042.0,897,29421,11636,1109,24824,18239,2.1,3.5,-5.0,-2.1,40.0,1.9,0.0
2016-02-07,1분위수,28.0,49.0,6761.0,301.0,5319.0,365,7190,4651,252,6681,5777,2.8,3.8,-7.3,-2.1,50.2,1.3,0.0
2016-02-07,2분위수,70.0,84.0,9785.0,287.0,5205.0,560,11067,3398,406,9030,6401,3.2,3.1,-7.6,-2.3,52.7,1.2,0.0
2016-02-07,3분위수,98.0,112.0,10482.0,315.0,6213.0,434,12398,4031,357,10232,6988,2.7,3.3,-9.1,-3.0,49.2,1.1,0.0
2016-02-07,4분위수,77.0,252.0,21275.0,905.0,12646.0,792,23735,9871,757,19641,15514,3.2,3.1,-6.8,-1.8,48.0,1.5,0.0
2016-02-08,1분위수,14.0,42.0,8748.0,273.0,5461.0,512,9390,4510,126,8343,6195,6.3,6.5,-3.0,2.1,65.2,2.5,0.0
2016-02-08,2분위수,56.0,147.0,11172.0,505.0,7363.0,448,12798,5682,315,11575,7668,6.7,5.4,-3.3,2.0,66.0,2.2,0.0
2016-02-08,3분위수,28.0,70.0,13471.0,294.0,8244.0,392,14005,6862,848,13720,8387,6.4,5.2,-4.9,1.7,63.6,1.9,0.0
2016-02-08,4분위수,112.0,196.0,21951.0,724.0,15547.0,574,26253,10778,953,22874,15684,6.8,5.6,-2.2,2.5,63.5,2.5,0.0
2016-02-09,1분위수,21.0,91.0,7471.0,210.0,4631.0,301,8543,3391,189,7153,5271,6.0,5.9,-2.0,1.5,52.2,2.3,0.0
2016-02-09,2분위수,77.0,105.0,11812.0,435.0,5786.0,455,13439,3999,322,11299,6916,6.4,4.9,-2.1,1.4,53.0,2.2,0.0
2016-02-09,3분위수,28.0,133.0,11362.0,399.0,6799.0,427,12925,4963,406,10842,7879,6.1,4.7,-3.6,0.8,51.6,1.9,0.0
2016-02-09,4분위수,42.0,287.0,23184.0,751.0,14171.0,798,27109,9715,820,22192,16250,6.1,5.0,-1.5,1.8,50.5,2.3,0.0
2016-02-10,1분위수,35.0,84.0,6916.0,266.0,3865.0,266,7589,3038,273,6468,4698,10.2,2.4,-3.2,3.1,43.8,0.8,0.0
2016-02-10,2분위수,28.0,168.0,11096.0,386.0,6384.0,518,13131,4126,287,11121,6941,9.5,2.9,-3.4,3.0,48.3,1.1,0.0
2016-02-10,3분위수,63.0,161.0,11355.0,343.0,5889.0,455,12454,4481,421,11154,6657,9.6,2.3,-5.0,1.7,44.8,0.8,0.0
2016-02-10,4분위수,189.0,315.0,24322.0,962.0,14537.0,701,30212,8690,729,23765,16567,10.5,2.7,-2.6,3.5,43.0,1.2,0.0
2016-02-11,1분위수,42.0,84.0,7300.0,336.0,3681.0,420,8150,2852,133,6604,4951,13.8,3.5,1.0,8.1,38.8,1.5,0.1
2016-02-11,2분위수,77.0,231.0,9252.0,513.0,5447.0,560,11485,3601,259,9973,5932,13.5,4.5,2.1,8.5,38.7,2.3,0.1
2016-02-11,3분위수,28.0,175.0,9559.0,350.0,4854.0,385,10513,3596,731,9255,5970,14.1,3.4,-0.6,7.5,38.6,1.5,0.1
2016-02-11,4분위수,77.0,492.0,23981.0,1112.0,13582.0,1157,27747,9975,1102,23169,16812,14.5,3.9,2.4,8.9,32.5,2.1,0.4
2016-02-12,1분위수,28.0,105.0,7815.0,203.0,4048.0,294,8872,3250,196,6871,5741,10.6,3.6,7.3,9.0,95.5,1.5,17.4
2016-02-12,2분위수,21.0,210.0,12690.0,463.0,5880.0,532,14810,4323,378,12578,7465,10.4,4.5,7.2,8.9,93.7,2.0,16.6
2016-02-12,3분위수,28.0,91.0,10489.0,294.0,5216.0,511,11658,4067,639,10583,6292,10.3,3.4,6.8,8.6,94.8,1.3,14.5
2016-02-12,4분위수,49.0,575.0,27958.0,1174.0,15895.0,1058,35367,10700,919,27649,20395,10.7,3.9,7.5,9.2,93.5,1.9,16.0
